did	duration_xi	duration_sigma	duration_mu	gap_meanlog	gap_sdlog
did:plc:2ehtxyxekinl5q7drk6mjagr	0.23389514597762	340.622007017795	0.0	7.13171738465868	1.94959504477685
did:plc:2ei7fknyiw4dggcio35r5k7u	0.2520049295861686	357.7576209826065	0.0	7.54462665905353	2.19449502943987
did:plc:2ekx4dsupwiobwdfjovauxj4	-0.520324141306038	233.278303451109	0.0	7.23190100501672	2.29794663360328
did:plc:2eq3273yo4eq7xi7wxz2wqav	2.691497713142856	2.691497713142856	1.0	7.32897297065059	1.80328516959791
did:plc:2ewd4z2bghnf25y5lghzz5sg	0.14289841299971773	427.2782778884549	0.0	6.29320708804903	1.9931704486054
did:plc:2f2hj2uzsrkcjlr4a6crcf3v	0.1291275277063133	443.8430076362124	0.0	6.35139446812054	1.97164029932524
did:plc:2f3onovjc4guj7ys3hmw7uic	0.274679177736816	113.187340786189	0.0	8.81023566102075	1.24437115362934
did:plc:2fg6nqvpmpqe3qqjfe3ohhjh	0.28474399183507	274.905061842194	0.0	5.96872916219414	1.87632286705866
did:plc:2flh2miwa3pqfvww4hlu5mpj	0.188980265545913	185.068248700315	0.0	8.53751361361026	1.22720572919256
did:plc:2fmvs5mxj33yvv4vcdtw4d2u	0.432209350634787	145.650427224032	0.0	7.0479236421086	1.91155471399305
did:plc:2fomrpx4jkvehobzzvjxubk7	0.19645725308769038	100.73974685370816	0.0	7.34611011126365	1.78589473163706
did:plc:2fopterjpcgcxfozbra63w4g	0.3437892158244247	345.7058858739979	0.0	6.74019771030204	2.46670360154972
did:plc:2fqqhimzn6nk3iclureepd4z	0.236080841533831	240.534733311101	0.0	7.05771649319038	1.80055702505317
did:plc:2fs2wbyn3mti3h5emj35c54o	0.536289926398857	70.6962811082401	0.0	7.0787358624527	1.70722180642012
did:plc:2fu6fiy4m6kzk2lt5rdzjanm	2.705217532308582	2.705217532308582	1.0	7.7858025341151	1.93700111736252
did:plc:2fvxsn2e7vao3kb5yjibk4jq	0.17703313700008408	427.6675249683353	0.0	6.77839809221013	2.47617012164612
did:plc:2g5cfqehwdexjadcvfrsqlek	-0.298586994761851	247.043159594266	0.0	8.12418767635452	1.6865728096657
did:plc:2g6ywlkazb63lgtlq5migf4h	0.434020195302974	182.949458571602	0.0	7.58418728682689	2.15455208931272
did:plc:2gajc43itmwhngl7h2wchse4	0.375133086796737	110.773791579303	0.0	6.93669770976068	2.01222383741855
did:plc:2giaqro5nztkd64wq42lq2oq	1.8329410915293787	1.8329410915293787	1.0	5.92353983672428	1.49541392264721
did:plc:2gjf7dbfvu5vg6h7x3l3lot4	0.9414972426770731	164.935872438325	0.0	6.92512489202021	1.99866748283775
did:plc:2gjzleaibcw55mnpazie67bn	0.22441947076396385	110.31584784809206	0.0	7.52311523252324	1.70968561552517
did:plc:2gtosy77tjnd246hzjmnyczq	-0.203985737335534	192.330528790302	0.0	7.07168870808121	1.68051547383861
did:plc:2gvji5g2rhuzrplemtu5idrv	-0.434631412165733	482.611693930881	0.0	7.098414381428	2.073653667863
did:plc:2gy7kfae7qsi7frycuexolah	-0.137170521979676	652.786684187777	0.0	6.77524056953415	2.17227522917879
did:plc:2gz5b6xn4m2taq3u3btah3wm	1.683399797915648	5.0501993937469445	3.0	8.20769754793189	1.7993721474523
did:plc:2h24hp6fuw4xedkuobt3bgmw	0.296194454811974	447.679225434296	0.0	6.62578955733127	2.70819673681115
did:plc:2h2dugxutmjljgnker6ndy7k	-0.368604706432648	129.074541849139	0.0	8.10133108696373	1.73767169200599
did:plc:2h7qnz5tgglxp25ysq6tixzn	0.6969707042288034	250.92803259656478	0.0	6.72450426051177	2.21438095064484
did:plc:2haevfjz6gsy5lbm7vfwogbn	0.255015197976713	276.273615924607	0.0	6.35192019471587	1.76291434633814
did:plc:2hf2oy7klxldmtznuz2zdpvm	0.346355369054059	138.37026479336794	0.0	7.45603507437117	1.77224548971328
did:plc:2hfz2kuxj3lxx4xyuhtd73gk	0.3605124075130602	204.1879711245777	0.0	7.41899751744042	1.92967841633423
did:plc:2hl67cxlbnm5yxydsqhrgfoi	-0.158464381629556	642.199455896999	0.0	6.67005476518489	2.2783909630749
did:plc:2htr6vzopp6mejep7qcpszru	0.6763437470867127	4.058062482520277	6.0	8.51638814009407	1.02197056403139
did:plc:2hwofeyn7fwnwjnjz2ery7eo	0.241311319784532	147.83808016391748	0.0	6.39843019756089	1.84043153748421
