did	duration_meanlog	duration_sdlog	gap_meanlog	gap_sdlog
did:plc:2efvt4fmmve3ehm4qnwswdyk	3.97349054230266	1.42435587194755	7.38408112120125	2.14667240242432
did:plc:2ejgrwwof6lroqkwu7tnouwr	4.5608043095194	1.6875714693608	7.46444668986911	2.13082330802889
did:plc:2ek7jshkhaa5bfq44g7cbvp2	4.0277748434897	1.49235085740561	8.15074964189945	1.50715819141681
did:plc:2elvygwfwp4ri3dgwvv3ggqx	1.91714173091497	0.729272363671858	8.71536638677855	1.506719871239
did:plc:2eoomozriitwumt6smtcqa2h	3.55958022737288	1.97535622555446	7.64207451081723	1.77842689263909
did:plc:2eqnsjxylmldncrtlkq5jxrs	4.61594795606561	1.36384936168008	7.61565042750642	1.84387669077318
did:plc:2ewgx2bxqzn4dqumezb65jxn	4.58575655107817	1.27459187583191	7.82289166443355	2.01304335608654
did:plc:2ezv6ztsoeyqs5l2xhvzd2dh	4.32854971678518	1.39712653612235	7.56438981073123	1.9307185559252
did:plc:2f2log6tnqscbgptskh76563	3.106304500346	1.6341353544167	7.06974963525505	1.64537459207871
did:plc:2f7w7ptuiog7eysvxulgbdxq	3.87042187599435	1.04530077539502	7.794002407414	1.59139388529868
did:plc:2fbvsk5ymmr5gdvib4k4p6qv	4.71874384867668	1.17054902799301	7.14887974694218	1.52012274928665
did:plc:2fcmwst77fmtidu62kpdxncm	3.3289555377202	1.3497883328844	9.20105949386184	0.956685564587964
did:plc:2fd467ahskqs3pnphptmzjmj	3.01887670123862	1.09742132713576	8.24897874104927	1.31615625885543
did:plc:2ff2kfq6rqp4ormgcguqg3cy	2.90730362591001	1.73206183163732	7.55380919677925	1.73498996088757
did:plc:2ffkp7r5ciraavul4j7rczbk	4.99448205099216	1.44945151509613	6.5953852531648	2.10242277762285
did:plc:2fgf2qk7gacdqfs75i62zr6u	4.5425067181297	1.68091812335177	7.73733024911657	1.6841734561395
did:plc:2fgqhri2c2nd7aqgwuj7jfzc	4.34023542223617	1.24094528652153	6.83671142276872	1.44500877616008
did:plc:2fj5hra2byrymuod3mq73bwb	4.73443693288448	1.05716886779537	8.35034080068465	1.95719617366673
did:plc:2fviqj4tvd4t67oy6zyoy65h	3.56293266809685	1.73215914789252	8.18832036952333	1.54770398696816
did:plc:2fw7q6jn2xhlfbdqmmo6twtx	3.60593386082711	1.5411832846055	7.44414563289043	1.83320856641768
did:plc:2fwnhktzv3dlq4qmbjsh5pdv	4.81110304672462	1.31876982268971	7.75961744883037	1.99327474193648
did:plc:2fxlvgpnb3xjmhphskxucphy	4.66081952264741	1.46810970138274	6.49811621983062	1.82693919397664
did:plc:2g3l7jay6cigicnpy5nqdfdn	3.76961719772729	1.67090628120383	6.85246146970175	1.68270217988275
did:plc:2g3pfyotoxqsycz3md4pnzno	4.22708338924628	1.430085869805	7.57305464917632	1.75366920771992
did:plc:2gartapziw3x6vpjcn4i454x	3.18116045886654	1.2515947765536	8.37639158794863	1.55943680199363
did:plc:2gbpbi53yjpvmmstcqesuuxv	4.64814442626617	1.25426719907892	7.34868848019052	1.7469903515698
did:plc:2gdsjbfkifm7cqrdrl3vgq3l	4.71544457075472	1.56276394109897	7.4501376118132	1.60549273068214
did:plc:2gfofai2nyepo3p7tirjcjah	3.88750078099918	1.79391125432033	7.70001576872234	1.45828028361892
did:plc:2ghgjkqszaib33i32ou4z5td	5.55126131813637	0.875567875246442	7.55471595042271	1.88980145910065
did:plc:2gicdtko4bi6dmoml2uomwry	4.68428645394438	1.49444802895618	6.48983206083189	1.72177202427292
did:plc:2gnl2cbrvcw3uq77cb7oh3fd	4.43231256176418	1.56003865434523	7.56123472811259	1.97305124831251
did:plc:2gsvoqlgedtaffo5zbe676h4	5.19649347251422	1.24375420061696	7.08564014749525	1.98529762795676
did:plc:2gt4kiumm3syz74t2io7adb6	3.16198999300855	1.52486594951196	8.23239318629273	1.54251980894445
did:plc:2gwdf2kxnkzywp22csgve6rw	3.92214133370396	1.30095268363431	7.86778258604602	2.20292951414437
did:plc:2gwrcyiw5ubwu4ksh22rd2tg	3.3596000826149	1.16949266577107	8.634432946734	1.23820335444303
did:plc:2gx64bmhmdca2ep6nzx6ehs2	4.75587598748018	1.67369081048122	6.14802301048626	1.68598701372462
did:plc:2gx7pbsuhdlyn6etj62mwm4t	4.07982142484989	1.21113015109014	7.49943315591341	1.77572530334579
did:plc:2h4jcff7dv4is2pxkfxlosjm	5.02933802648055	1.46659820263228	6.3041028371809	1.81536122187166
did:plc:2h5csgcobpdcufeqj3fnabaz	3.91974730805003	1.10584099397196	7.98341502399773	1.60710714638653
did:plc:2hc5icgostmuehyidlp5xy2c	4.18165367379878	1.50683787652899	6.53314136548418	1.73188421807405
did:plc:2hh2hl5ojh75mdiunk5kggib	3.69742412330661	1.2372974104217	8.14213924497999	1.50035365229842
did:plc:2hh34xxg2iegymjuppoupw4p	4.02549867975794	1.71803641947691	7.45087650692634	1.82298668372845
did:plc:2hjcu342ihcdqk7dw3jityuy	3.88620638182267	1.25501381151449	7.92504199640483	1.6474668217889
did:plc:2hpugxpcydtrmgltrdcb6vxj	4.79363372793208	1.57707020452788	7.08121125313291	2.4831905240659
did:plc:2ht7rttw7weni7e3zurbqq5j	3.6984007502989	1.43874504853808	7.24369082577715	1.55712130695765
did:plc:2htqkffl4ikjwnos55fq2veu	3.95582972723288	1.81139620617693	7.04265283630488	2.0543617301049
