did	duration_shape	duration_rate	gap_shape	gap_scale
did:plc:2bhabbkecstyi5gpg7ybotsg	0.711233737416329	0.00440391871193545	0.586413317642371	9260.33930277288
did:plc:2bhca7upmtx6xwzbbiahfpl4	0.674658777193574	0.00290307910621756	0.497345351563427	3907.7641147656
did:plc:2bhprlnhjgslymavj5j6ejm2	0.500262830583614	0.00430261570444677	0.684946673916294	7713.46153990021
did:plc:2bjlneez7nhnmv5lj6ruihtq	0.657868169574354	0.00215943350240218	0.528754447059888	5469.05891584254
did:plc:2bkwdno2m3kpucosrswcz7e3	0.769144697396019	0.00434959479232169	0.683325025779006	5592.59608182952
did:plc:2bpuvzaecstiioj4s2hunomd	0.714893235321683	0.00400243523046026	0.638153667548752	7444.98348978555
did:plc:2bsxjuehveqp3t4aasxncuxj	0.666064277511982	0.00228700295643991	0.618493315940381	7101.51328155737
did:plc:2bszd6efg4ytngibmfjtvmsj	0.724622391567255	0.00843780159286429	0.748276015793637	7982.99233211376
did:plc:2btcyumzxtypv5xe7x4yhtur	0.570167916005667	0.00249576285309193	0.520745678496547	3105.19071338059
did:plc:2btezfxtpfg6knkojhxlne4e	0.675486638393907	0.00227690437458496	0.522669968402901	6227.63723410552
did:plc:2btssr6xgjuqhowe47euvb7u	0.721657010790376	0.00220687235535562	0.567330485911149	8999.15455772796
did:plc:2buz4gf5sew3rdwzbxsvcd4s	0.712371408950073	0.00432103450925268	0.59653717690263	4500.0265581198
did:plc:2bwg6nl4vyjm4ubldgqcky3u	0.642493721962441	0.00559828661291534	0.755112348353658	12178.4248176366
did:plc:2bxeohusvdxprodd7gknuvgl	0.584359973378645	0.00440124561766548	0.843604073825914	9026.56408938704
did:plc:2bxnnjn54w7xgadofdhvfrd4	0.48609161805813	0.00426529403703007	0.595203464854674	9519.3712618603
did:plc:2c2zbvl4wwmygzwokxg6yjf7	1.31664558296021	0.00312210269185115	0.481195607701888	4646.18137266856
did:plc:2c5gesfkfopmjly2etco6ht7	0.715766778736023	0.00520803355698437	0.604652984158756	8880.11904661976
did:plc:2c6ftw6k4e5dedgtfzvnhcb2	0.741643884552002	0.00707960673675246	0.659632150039875	10781.933049428
did:plc:2ca7pfd4set5i3sdsvfu4vc3	0.697262028805845	0.00329478513644406	0.510059250139482	5014.4188313214
