did	duration_shape	duration_rate	gap_xi	gap_sigma	gap_mu
did:plc:2drv4glfqd7iak2pgwo2thp2	0.774814336684618	0.00229086875616	0.8604979898648076	764.2849201778416	0.0
did:plc:2dscyblbqygu7y6mmkaywx2y	0.665484600331744	0.002708104991465	1.1283928109335593	552.4754654336856	0.0
did:plc:2dsnpbdcgv67n62ztkxejaou	0.680923248265914	0.00276513018424877	0.7148559679050199	1176.4504516698742	0.0
did:plc:2dumvwxtreeni52g7wqsmbuf	0.72109070909698	0.00664136044183812	0.6342243534218768	1695.1912754577204	0.0
did:plc:2dz5lhoqi7bdjsshpnntcnol	0.80889092744203	0.00800287270834026	0.6670409836485943	2665.2144698090865	0.0
did:plc:2eahyyjlfbymf6dyr6tg7pfp	0.581641709150335	0.00320482922803324	0.5769070303731008	1605.2450960620372	0.0
did:plc:2edw5pdrcgwtan6hehd74xzz	0.764695360960135	0.00474591267021037	0.8227623997577584	1114.490388976713	0.0
did:plc:2egbtmcywtn7jd4hcpmeyx6c	0.559062228306468	0.00245614376389797	0.8417778314758826	680.2397508711422	0.0
did:plc:2ehatp6jrzln5bvesaai67hn	0.671435194862767	0.00528185161519894	0.6140915924021126	4766.852744156216	0.0
did:plc:2ehrd4f26d3hz6pwpogq46rs	0.596091006817272	0.00259018797825756	1.977743196889164	319.46840220672937	0.0
did:plc:2enemezsscwjqvrbgas7ugv2	0.62891389483857	0.00692407901457723	0.5412168518134806	1208.3392641980954	0.0
did:plc:2f2j4aw5bkxz6q3hgbji3jxs	0.578075216276346	0.00316564085957567	0.7439042062713344	676.050775841959	0.0
did:plc:2f5k4lsniywd2q6po7z42jns	0.584225186043997	0.00500348843781815	0.7200505207321857	973.0672148198096	0.0
did:plc:2f7xpqxlbq53sexs6xkxajzf	0.633150084691105	0.00298928140495847	0.6727748914594077	877.5731849326542	0.0
did:plc:2fjhikcei3dugdzhgfuae35z	0.505019288374375	0.00405099369207473	0.5944855236739263	1174.9783698321291	0.0
did:plc:2fnpwsjmi37jjxxwajmtgxvk	0.672369872118237	0.00274934336751548	1.708946515547999	1256.51836312731	0.0
did:plc:2fq2io3ss7bitvba6bxzrroc	0.606487444521367	0.0020308248166014	1.1192111104879519	368.471446384904	0.0
did:plc:2ftisfungz67x4uwuxxtpxnp	0.553834112079212	0.00244374742524348	0.9696010981121325	2330.4839487487184	0.0
did:plc:2g3odfpsgsndmrt2qnkxi7vb	0.767784889428299	0.00516181803557132	0.9898994995763625	1587.0827424059044	0.0
did:plc:2g76fonuujm7we6nzef6tofl	0.678666945703829	0.00209681432929886	0.559275989339125	1448.69301171884	0.0
did:plc:2g7frlxeocz6nj42p6diskcy	0.677865478039637	0.00527720421165688	0.7541788013050047	1647.466617246171	0.0
did:plc:2glrvsgcewzic5nv3c76asqo	0.585390249958127	0.00520073239779888	0.9741281975474384	2565.1515194923286	0.0
did:plc:2gmry3yoq3zry37xtqyzn4p6	0.702078031869598	0.00357671482747331	1.2533094099697835	1083.9065766859205	0.0
did:plc:2goeoctnhvgyngaequup6eby	0.798096726695019	0.00251931468607155	0.7052740757179182	1666.1558197131828	0.0
did:plc:2gugtrgvnz3j7iagpqepmkwe	0.59301486652316	0.00407657577576112	0.7934820139846644	995.578818123668	0.0
did:plc:2gui776gorguqdayegq3qfoe	0.72002335695483	0.00254559179662447	0.6066934652813953	5636.7296562576175	0.0
did:plc:2gxar3c2vyij3goxv5y32wpr	0.777119383494806	0.011191673479255	0.06247120107409803	6028.703937978008	0.0
did:plc:2gxc6b3uiooholygqogfdg3m	0.528999971785914	0.00281019350164455	0.7201004015939328	1234.6611967190784	0.0
did:plc:2gxzbttm43v2mi47rfs5l7lq	0.781932680043663	0.00381408714344649	0.7604418060021799	1066.4987282571471	0.0
did:plc:2gyeiu6nnehnvfk2e4vdibcu	0.670674026063286	0.00318933620160279	0.5854694369030324	1619.8925427329784	0.0
did:plc:2gzbdy7bpg5cini76ytc37s4	0.572914850439648	0.00387788820717807	0.8012753017317655	1725.1411554285505	0.0
did:plc:2hbj625jol5pfwsjv357ndsl	0.666442380485655	0.0046106230782145	0.700992961519963	1031.963532272368	0.0
did:plc:2hk3yosrlb6fppa3tyobo5j7	0.642604847887083	0.00466109935927102	0.364728578412139	6124.02634717002	0.0
did:plc:2hnzhirecrohje2n4micsqsb	0.564146331595371	0.00273471313719089	0.7493994533615028	1143.5356021051987	0.0
did:plc:2hscbb6ienmwqrjlhmg4k5j3	0.74938332316152	0.00205074026743998	0.6885901993895291	1312.18568263875	0.0
did:plc:2hwwmnwi3xm223gi5xhh442c	0.76470574650892	0.00304715798641111	0.815515322824506	798.0843411509932	0.0
did:plc:2hx23gneujwmhiqpt67jjmrp	0.745430243533016	0.00407113404755346	0.610010086296082	1596.17385730382	0.0
did:plc:2hzxnr26wyslmwvzkv5rbixa	1.49787801080127	0.00490923580354104	0.7137419926057793	5237.452312459368	0.0
did:plc:2i7addj6wxwauc5kruy72qxg	0.709784638749524	0.00571320251200428	0.8622265344122146	2911.074553690549	0.0
did:plc:2iaeelbo4j3on7yo646uxhyn	0.861483153477906	0.00228411069341061	1.1373742062076877	415.9468045667959	0.0
did:plc:2inpznw7vrc5xo2svba3ho53	0.702220385571861	0.00225090572086631	0.8409264742548801	426.86013367548895	0.0
did:plc:2irfawhue6ac6f435bd4ladn	0.720683423704058	0.00273630882799517	0.7479976602474887	706.715603257647	0.0
did:plc:2irphestiff2awrrlnnmoijr	0.738720286348029	0.00286248892334138	0.7773313614963671	1635.1771761784014	0.0
did:plc:2iscwprhjbb2kjo2tixnwoqa	0.457862556922952	0.00332645826673696	0.7031315174943081	2024.6341853430024	0.0
did:plc:2iymlrabuaznedvn2pu3uaj5	0.580456070722725	0.0035127221395759	1.0516018790166501	867.4174282661387	0.0
did:plc:2j2rh2eid2bcgyzzloewu4bt	0.636253403013985	0.00290447388017146	0.7071581778440832	1443.3413382667468	0.0
did:plc:2j343mdtftrjkosbk24ww26j	0.637340412873447	0.00335281748626679	0.7114781646287721	619.2134132912721	0.0
did:plc:2j7aolyu2ys3umoikzy2ikpo	0.681963845144528	0.00371177476417099	1.1624712209475665	2230.455655118742	0.0
did:plc:2jbnvn43ht33oa3eeltkmvcy	0.607732738055787	0.00273369823929311	0.3709082185054793	3269.420964189632	0.0
did:plc:2jnctcnfyfqiutdrvy7v3ryl	0.741459532130075	0.00402091775149318	0.702261328521403	2983.72392072318	0.0
did:plc:2jr6cjkkutk3fjijzzdemxub	0.636592772691705	0.00619309335316878	0.6332638464848616	2657.8447086563747	0.0
did:plc:2jxiepcv6udfo64cqpgrrako	0.724403131163902	0.0028124484300503	0.652984318150759	1132.0180659749535	0.0
did:plc:2kao5ibvhuzljiubbqar3rae	2.98412200027465	0.00864470216765744	0.7859678054854708	414.08049034283005	0.0
did:plc:2kbfnipi5bg26xlxplhl7h2o	0.820893984575274	0.00380167628328936	0.8100708673464048	549.5836906454834	0.0
did:plc:2kdfegju7m7vfdh3a5wzjosm	0.713588742062106	0.00653370331011591	0.7919606622953449	1851.6258734816129	0.0
did:plc:2kfmdfqryh23n4jvorsrqzd7	0.752642883582707	0.0023641596519604	0.57143970348299	2761.86343523187	0.0
did:plc:2kn66fyi3mgx4tpmdzmjamur	0.751843390209942	0.00440149464416851	0.577066000105808	4956.27017394168	0.0
did:plc:2knp2hldwo3adaoo3jra7bjy	0.721653338266224	0.00298223875721533	0.695700282027966	665.352362591869	0.0
did:plc:2komokonhtxkeffhsk2srfgi	0.781697118124772	0.00205394345041411	0.8137636748754854	1294.4689792142497	0.0
did:plc:2kyl52mgd7yiioicy7c3ul4y	0.550557244071837	0.00368702887151586	0.544227740205155	2723.94061250833	0.0
