did	duration_shape	duration_scale	gap_xi	gap_sigma	gap_mu
did:plc:26mwnzyxk5lth4uqcotossns	0.741845431282222	149.017031396688	0.5781246176446291	496.5242690230029	0.0
did:plc:26s2grfajmysgkgfcb4ysink	0.710852379086103	107.188586359065	0.6031781505001087	1019.3423326571153	0.0
did:plc:26t2me6brgrdzuvb7drcoil5	0.767775817861669	608.940640947066	0.8683618300659126	340.2840484894045	0.0
did:plc:26vwnzjpjbbcjydnm2slt3r6	0.689200646260933	348.922503282727	1.90360563243871	591.5115669092945	0.0
did:plc:26zjxasanrb3tylh45ef6m33	0.804678640224998	114.091442876881	0.6531219118370362	1386.532317735401	0.0
did:plc:2754yjsoyscjqpvyce22ct5q	0.736151833044922	73.9107896183817	0.472928098461058	4362.846414742936	0.0
did:plc:276b2zlomgcdfttmn6qqeeka	0.756214067247368	190.316933062761	0.6915500255574277	1080.3336874260654	0.0
did:plc:277gyf4nolnmjoyr6vjmqhcz	0.814450058023246	132.055441583125	0.7732069600606374	2282.4569939925173	0.0
did:plc:27ar2p2flry35wsfb7nwdaoj	0.842865577378834	176.002305017245	0.9521758242280798	860.1318442736601	0.0
did:plc:27c3wnmwuorvttpveht4qn7i	0.829841990621363	104.630150782268	0.663449138089648	1282.15915294522	0.0
did:plc:27hxecj6nukkmoaftulspxga	0.755888856656337	85.5215877361634	0.35482950578999173	3071.419596442593	0.0
did:plc:27lre4il5etax33ijkj3ynom	0.720113003028361	344.267885522203	0.9357325834316869	488.7053276232657	0.0
did:plc:27mzbjvvjr6uztgdno2mqvy2	0.811861332707263	166.045187446417	0.7502653000892394	807.6400245860176	0.0
did:plc:27ptd4tscnso57vzkd4v4dvd	0.847880448753654	219.216910234294	0.7579126055829702	938.6297375913432	0.0
did:plc:27qp2jlveak6xnmc7cyglcfa	0.729301285710401	93.739523347057	0.7472152199354399	1597.3003077818437	0.0
did:plc:27qxoqzmpoi5j2jenlvcpme2	0.863104470907638	147.322682800987	0.553354840426459	1702.85010119351	0.0
did:plc:27rsyaswvs7r2nekja3wze5d	0.769876778483659	74.0362707420155	0.7324297923258876	4130.174673922627	0.0
did:plc:27u6urclrgh6uijeiqb2wcts	0.747176104425825	116.080558829722	0.7160489391638443	1646.8573107504324	0.0
did:plc:27vfb3k7g7znqc575i4m5v2h	0.732979811932356	256.420063913663	0.6472680786326664	973.1028847009284	0.0
did:plc:27vtc7n7ejuzkn3xrxkl3x2x	0.675740135177024	119.696618092631	0.9376621334106009	1455.8039398409503	0.0
did:plc:27vuc2cah3qvtmwlquwt2h2i	0.575312616001917	619.02426562932	1.5426926535142633	555.4655623125875	0.0
did:plc:27y2nxrwkvmvaayex7tcpmbs	0.665091444712822	217.820102019457	1.4151082712288574	680.4945947961693	0.0
did:plc:27y5xkute74f5irg3cvplv3g	0.811689343949837	224.937871633662	-0.302866446216323	15493.1843354578	0.0
did:plc:27zprdaxmzjdffob56z2jbx3	0.690360408335062	184.884903464794	0.8534557835905295	1867.7862967024944	0.0
did:plc:27zzd3jt53rfhfmlnsk5meph	0.868367074777441	79.3991877506305	0.46895961972536887	3736.9681807572633	0.0
did:plc:2a2rxlj2bjg2m2sbp4vxjcj7	0.646188163656516	265.940218973199	0.5947316484104991	361.84224008189835	0.0
did:plc:2a3r37p22cint33kbzt6t2gq	0.723255710959365	157.55360150707	0.7098615943604195	1261.3605583648425	0.0
did:plc:2a7id6gpgtv2m74zwjcijouu	1.32399922735304	306.951789408245	1.3111872548223684	527.012765821335	0.0
did:plc:2ab3eltwrykoo5x5rze4y3oi	0.582196058279765	82.3180715787172	0.6362016148070487	2001.5370876051243	0.0
did:plc:2acrlfycjj5rchbkwrjbcvrj	0.816256493169198	430.572687093992	0.6645138218904884	443.6452345152128	0.0
did:plc:2ad3vilrywxm4gjdn2ea6nft	0.797184284583526	177.460944716226	0.6914745279594098	1420.094135299718	0.0
did:plc:2ae7ierlugxfeh5rcjeczvb3	0.839615596277366	395.339061317945	0.7706757901115656	828.9659306887125	0.0
