did	duration_rate	gap_meanlog	gap_sdlog
did:plc:2gvjyduzqzllqqx2ifysz2lu	0.00207360553766261	6.45739911535072	2.12247443697797
did:plc:2gx4p64yp646creuolvx7hlv	0.00213215445413454	6.86293770563638	2.00569860467676
did:plc:2gxkgtbzaljuqdzp5k23tb3k	0.00377906435579107	6.73512576851622	1.57180887523874
did:plc:2gyf2ijd27wt6zcajqmb6lil	0.00326465467261617	7.06543132762124	2.53724564370768
did:plc:2gzj5mafbilgcctbeoapap33	0.00412901972215156	7.53214425796977	1.79176833270767
did:plc:2h6yvnlfnf7vsvlz6vvy6pmw	0.00220579546506414	6.05089077800095	1.98921163242776
did:plc:2h7fsdbvjpewho32zatnywq6	0.00230882639300976	6.87378350321377	2.28837505685541
did:plc:2hae6czkrgijfcx5sr3kvacv	0.00317222804141534	7.05117878618702	1.75868045434847
did:plc:2hcllytuurqomrr6ufqiza47	0.00360537528718234	7.15557923991249	2.12291588649908
did:plc:2hdqlkihbir5ggymugvxuez7	0.00303694115317551	6.86688118350842	2.62090739603598
did:plc:2hfeif4o3lubcgwezqltj575	0.00312558313130325	7.21617859224832	1.84850246045513
did:plc:2hgfdpnawwwg6hkpnqamjx2e	0.00648088140149875	7.05170052400256	2.28912047982803
did:plc:2hghxurm7nj54qwg6brbty2j	0.00440473974917865	7.21446667225605	1.84075047661165
did:plc:2hhltmld5rnubow5o3qytv52	0.0040990463445831	7.09707053751056	2.19070059753111
did:plc:2hjs5ngngatbptunzo4as37u	0.00826245443890118	7.70399406324674	1.73967530226727
did:plc:2hm5ept3myp2dwfntwirjndb	0.00326878664071722	6.73765655069783	2.19803810595615
did:plc:2hmsy2j47nij7aly3ovwzj6s	0.00447531583709672	7.05542707270937	1.70692067915949
did:plc:2hqgt2v4s3hx4d545egwlpsw	0.0068434559466333	7.7413641779258	1.66282632577313
did:plc:2hraeoem3uiipql3bv7kqsg4	0.00463725669746633	7.19377464631271	1.80599857333471
did:plc:2htg2su324b3joyed6s73o2c	0.0120684816478138	7.9555285054153	1.74450200103874
did:plc:2i3csceaqqzz5i4q25xq47ir	0.00362151333063694	7.16548909668763	2.20963779449233
did:plc:2i4dmm6tylkpetqdk4nxeny3	0.00535013672629918	7.34906360110658	1.85987321810326
did:plc:2i6iquxafiwva56aoyshvryu	0.00277725178329905	7.3005368687658	2.1585766851789
did:plc:2iabfmpy6rdpj7f7llg75qt7	0.00672865182430644	7.62216093422012	1.70797097121777
did:plc:2idhg2vafzlhfu7lg2qnp2gl	0.00843996733282324	9.07072453568457	0.997329280176407
did:plc:2iffnsrte4e754agaja5lq45	0.00582653571058895	7.37594498459712	1.73407996657141
did:plc:2igtxyppnkc2onqak5xs4tw6	0.00469353948181866	8.62804266379962	1.61112924875334
did:plc:2ijedidvjqzctut2rktvlf4z	0.00419952883359474	7.69701261340293	1.73322331559942
