did	duration_meanlog	duration_sdlog	gap_shape	gap_scale
did:plc:2coh64xix2qdqh7xd3hejxnp	4.32221167593193	1.1952644196055	0.84224828501731	5508.54524640333
did:plc:2comcrfuvuts64pidhthr5gc	3.00260445614513	1.96494263686617	0.655078542453668	5328.18407430509
did:plc:2csoadrvmuwez7qdfjfajdg3	4.39793513072954	1.49717164711838	0.544027140833931	2431.08413262655
did:plc:2ct5edbgdp45goqujm3wbhuk	3.2201817455685	1.70220489002017	0.736534982647111	4747.47096017132
did:plc:2cuuo5m5bexrxy52ktfla2oo	4.66368380495939	1.08035178933397	0.552852412600228	5848.97721195911
did:plc:2cvoir4w3lfet7rezpvixd6d	3.22072550172033	1.39891992326991	0.666551291507297	9140.14493653275
did:plc:2cz6x3e7thlqjc5cxa2hnbsn	3.77541998138988	1.75516329568033	0.604850253262948	5176.3256242454
did:plc:2czvk6cebqkqll2obphxasey	5.7284953143408	0.957680771441323	0.567695548932543	3274.96268817645
did:plc:2d5emrmkprv3mgapmcunpsqe	3.56804910880397	1.68407671606048	0.581386157242913	4690.32723409778
did:plc:2d7krct66fbnyo7kzr23udb3	3.60417779698458	1.84279497659022	0.727467474534166	9877.02858792919
did:plc:2daqp3v3ggov3gyf42l2cbvt	4.81075139384566	1.58386963759969	0.675599743091324	9912.49015503796
did:plc:2dawp3lnsqr57jszdbwbui3k	3.53505629920788	1.74598210830383	0.6164225514841	4805.20162306577
did:plc:2dbqil6b5dc23k6fbt5hzbvf	3.02475185789832	1.43245377711395	0.786626013932413	11316.6811322594
did:plc:2ddf6qpizboh6hfm5xprxbjn	4.56500175898738	1.231627589162	0.622090360174469	5774.01530594525
did:plc:2dfee6lox3qlhu4p72vsccyq	4.50773873125011	1.28343172548379	0.701787321473245	6936.07165457093
did:plc:2dfoqv3mr6zogyp7v6kakhl2	3.25898149961243	1.5047762336652	0.777408629006809	5502.39892473009
did:plc:2dj72zngnv5yvorrhegw2zc5	3.33660603107815	1.48827792650445	0.678957880523296	5563.74867206819
did:plc:2dkt6jd7o3apvp5edpsn7gzz	6.37577695600061	1.19131980759193	0.797493549182644	438.289028318406
did:plc:2dmdprw2fh4y3lbyyfwvokaf	4.18293432510011	1.53528311451981	0.694768002358238	8494.99006876696
did:plc:2dnxrzwqzqh2oectqiscwytt	4.0830964111473	1.37607282083216	0.68481910444415	8939.6523029367
did:plc:2dqiy5v7rbyhjqjh3fiivvuq	4.55518387870634	1.2132098173089	0.609247461762262	4911.00652058139
did:plc:2dsed7i4fgyzstphkyparscq	3.4931735198645	2.03128631138263	0.607505716333197	4182.72828396739
did:plc:2dtdiz5akgaxs44j6gyju3jr	4.52862287023672	1.37221157693666	0.644914318333831	6205.09915735881
did:plc:2dvqlvirz54dzekx6d2nfyxk	3.39213314614816	1.64575296409039	0.536105066630864	2535.38339820208
did:plc:2e4episejofumqu6mkyf3fnq	3.2840998054735	1.45955766064955	0.930954952947983	15016.5078327478
did:plc:2e7lvnu4p5jarkwhwnfcn3di	3.14280323766253	1.80312509777433	0.660369550070917	4013.46588809009
did:plc:2e7ooda43mby6fkypba425gy	5.37737564755735	0.890466993085382	0.503065350814234	4988.96023023753
did:plc:2einyccanitfv3mqvyrz2ncz	2.97799875831406	1.65956008663296	0.944338660845966	7724.96261137798
did:plc:2eiqd4yft7qtwggadp63om4t	2.96632811681446	1.86599659224381	0.793476197562005	16981.5952896247
did:plc:2ekf2iwtp3ttwkfelu43pjmv	5.75765355486579	1.33596226890458	0.602302663764998	8073.46821688181
did:plc:2elupkfck75qakcx5dcpffwu	4.26721596556785	1.44760644274465	0.685767061042704	2328.32620584301
did:plc:2emu3kh7ydfukgmqenj6kpxf	4.2881884635877	1.81253373475439	0.597008697672876	6086.8816463714
did:plc:2epyc5bmnxstlfi7y6lzt5ur	3.32633164579831	1.44861319496224	0.800511731319997	8525.15952285833
did:plc:2eqd35dnw3ntl7jn2kh4nlln	3.4401859739086	1.10087173779316	0.888936161682226	11796.325916628
did:plc:2eqjoousysvyaak7funveoa3	4.34235517768338	0.873996789105459	0.799633852826162	11436.252248235
did:plc:2er3scq4k75c5yu2y4gemvfo	4.53088066054909	1.53738995420589	0.553540111652599	9994.66036612288
did:plc:2esyvhpgu7jsq6oubpfqp3gz	3.73880909628658	1.84508103268839	0.717640545890344	5030.41093926362
did:plc:2etcrel3tvpkov3aszdjorpm	3.28511815009223	1.26428546911492	0.793643803807926	7915.04900389139
did:plc:2ev4amziqbx6gds2q6jie624	5.18023198478373	1.15039038915177	0.566480036988498	5698.12925140617
did:plc:2exthvpfywpi54altaofpih6	4.51314277714593	1.24910001897012	0.646188396719429	9046.04827675784
did:plc:2eyfqucxvvvpum7pfxu6ookw	4.79568396820106	1.25811545652663	0.67494234286447	7003.48409819317
did:plc:2f5pmybnjasup34x6q7rbqzp	2.9969558270863	1.71267932796044	0.715878169616127	10918.263741392
did:plc:2farc3pkdmj3z3fjcbhvzeql	4.35078403151285	1.45683424234076	0.533095517567086	9262.23458052552
did:plc:2fe7igjw526g4utgdsstbwmk	4.90435610514464	1.20759072445761	0.638992880693983	7094.40672992481
did:plc:2fel7vmfhtvon4bilw4dxtwg	4.52394349147668	1.48381631190215	0.60709371624366	4620.89804295055
did:plc:2ff62fqkq27bdxswi6ez44dq	5.51141922608367	1.05750734717587	0.892905914390255	16672.3061100234
did:plc:2fkq3yzzskvbtxsawjzof2ds	3.78576262078727	1.65917332589101	0.715360785304617	6262.80989688606
did:plc:2fntmr65v3thptymtfeaxtsi	3.73501724950989	1.36463439876507	0.65082230793382	5374.73227723969
did:plc:2fnul26a4mph6yfiz5krmoqr	4.18292422445622	1.42173074236124	0.646338820515531	10833.6744837641
did:plc:2fpnl3ipeqoejjpupdeadncs	4.27944556526166	1.16171349736682	0.653533384272883	6656.41476755962
did:plc:2frwldl6yhvuh7fpajndhmva	3.61422372799113	1.14952404721861	0.71054266910833	5532.2817409147
did:plc:2fs6fc5scqi6gtmqusgm5pzr	3.39560199030584	1.47005790387172	0.782655920671976	15486.2448443828
did:plc:2ft64zryp3o5c7ue2uemidv2	4.69690481786048	1.29342142682718	0.749581101479818	9067.90917742403
did:plc:2futqh5vmpemfoftlk4p4c7m	4.261392141641	1.27157401027843	0.634612379913916	8966.90033539678
did:plc:2fza24jgjxvj6vsogkigvm6o	4.29931006877624	1.32561301246792	0.667889473020789	3470.62812808784
did:plc:2g43qdbnmlgofun5fumrp63p	4.99782847456748	1.07345748264205	0.648152535650273	5846.61653763841
did:plc:2g4fsdayhuvn4azrkezbazvz	3.00133365866418	1.81120306321137	0.663706887508059	8176.91325879007
did:plc:2g7ya7vf6due3mhhipsfov4b	4.24258414296575	1.42557488101856	0.831622350368281	8711.94794948809
did:plc:2gafdfhhfxlqhxdpy7cdjde5	4.56455872562966	1.57885207822873	0.623394053751603	6617.9694379776
did:plc:2gc2ptps553uysvvvlbwxjjt	4.09866327142802	1.33051772035142	0.646556153465371	4608.18415893209
did:plc:2gh5oowtgca7i5jqupozrmph	4.27842945469089	1.66658692846689	0.609313859284505	8309.7112126699
did:plc:2ghhfsrqk7ufltlqufsvvkrw	5.95181948321719	1.19238954693446	0.429036502337396	5935.88904476685
did:plc:2gmjwkslnyy2m333jqz7cva4	4.09720608304051	1.09937786439048	0.770806032429543	10000.5080313826
did:plc:2go6t4ul3vy6pmm2q2apxwrp	4.30349922199319	1.35702245018433	0.592048000336344	10460.3315752306
did:plc:2goukx4iurassgs47lacz74a	3.74864987237302	1.72419310408834	0.674387937543948	2680.01061307434
did:plc:2gt6xk23osyxhegybe2qqcpn	4.06392162529353	1.62479212642552	0.658232469891485	5181.02127682673
did:plc:2gv3jp3omd22cjk72cln7baw	4.21776316528905	1.00831827146375	0.652761783878277	7380.23872857911
did:plc:2gvqwejfmynd7jsnechueoop	4.12391639664301	1.35402174335556	0.751962933462414	12557.8790519187
did:plc:2gwk4gq4obzgmzyazv6oq7z4	4.38936187398418	1.22498194347972	0.659835883368892	3182.62161051609
did:plc:2gx2noukxzwmj6dkxbmh3qt5	3.61547569031863	1.71202283537314	0.701589862179146	11898.411707804
did:plc:2gx74ipt7sxyfn53bzufoolu	4.33505594644423	1.33702664342401	0.685936520932078	10077.629551864
did:plc:2gypvb2tzzuhete6qwytlvx3	4.8386232369438	1.00379875583118	0.730345508383502	9243.66557251117
did:plc:2gzowicnjnb2fbmu64b52lds	4.03727559805726	1.276101044152	0.603228890913711	13653.9530455874
did:plc:2h5gjmiipbnzbyg52c3edldp	3.99316822543783	1.28043042868647	0.809939498375063	9705.63688707637
did:plc:2h74bpiqmrq4zaa6ydooh5nx	5.2102268735347	0.868269684136568	0.603595130985534	4935.43908061945
did:plc:2hbn37xuu2c3lbo6x3plsn3b	4.07301908782405	1.33603565894882	0.709529983528493	8297.1245787682
did:plc:2hbncd7mjvjvrk2wfcdvuxlh	4.00512538118601	1.07833148381662	0.773347287477344	12029.1898580617
did:plc:2hcaa5t3yquozmyzpd76jqxj	4.03549831433641	1.17876917264923	0.790295964879903	10021.6449139677
did:plc:2hhdpwdtrnfei6haqlndsmlm	4.20774635448618	1.40706301585983	0.60300217251379	4354.42479716679
did:plc:2hhhifehmuo6zo7evauo6sdn	3.83616011606756	1.56825526887486	0.609189515545313	7056.08969300957
did:plc:2hig43gefyswjergpyei575t	3.18103717121823	2.02320489942049	0.860874687793242	11536.6636522024
did:plc:2hipzdg6ib23ugwauxf653ep	4.12434379280036	1.1502793040771	0.773568317574708	7349.6736008201
did:plc:2hks2dcxdfehxt6tuu3fpu46	4.15908892682554	1.77678074539998	0.681755349295734	8029.87108031813
did:plc:2hlltmv4t3mgzb7lum4fwmp2	3.73867408765525	1.40083282309086	0.7367106003105	8495.01415524251
did:plc:2hltimymy65zl5ba7ifsq3qr	3.40054990006629	1.53111895168186	0.691691702138978	5946.2572934347
did:plc:2hmfqo4o5bzkvnwqqjorn4nb	4.54178370617668	1.16194193662818	0.724574389533804	10342.0941937524
did:plc:2hqoxs7i6n5z2nk7vxou7m3g	3.52587090056481	1.20564486424052	0.603098236717948	6752.79340865825
did:plc:2hrocylgfaktgy4ajribcw7y	3.35401160156985	1.67432814416535	0.643933295251775	3770.1601014024
did:plc:2htclsp7aqdeocbf6pv5wtor	3.57382218372789	1.26160041107981	0.665003157828947	5575.45373585634
did:plc:2hwwy5zathahkr7agapv3hfh	3.35950906171486	1.40351620517822	0.658838540690434	9371.43960356716
did:plc:2hx6y2j7swuflcv5td6c4opy	3.66056477742894	1.52233626000688	0.635875948000481	7649.4253738943
did:plc:2hzpkgusmjp6wbmnz3ccwhpx	5.03511683562767	1.07947525973825	0.642886684701764	6480.15726077609
did:plc:2i463mxjo4j27kjxos4a7k3m	4.24988757827127	0.994769256687809	0.71541415182904	10274.9353644414
did:plc:2iaiio7i6o3mbw7jtmtpwtxy	3.60765421458194	1.12974772730477	0.745375753614788	4529.15628622063
did:plc:2igrwtau55titwww4r5xdfpm	5.22119322085043	0.931626077360313	0.73721330810642	12112.1515628547
did:plc:2ihlzygvcbvyrugct2avz4dp	2.78145157838997	1.56870336665841	0.810711662842255	12457.2842564499
did:plc:2ik5xtzvq3ptz5co6gzyws3e	3.35490419074384	1.84937795697307	0.667537398680634	8460.3249238131
did:plc:2iko4777ojwasiiiq5vjuluw	3.66348428190077	1.5826120867202	0.579741851864533	5721.77045107236
did:plc:2imij6icdryo2zh2ylunt6kf	4.33796106077453	1.57253794265355	0.684003291714487	3807.84326764759
did:plc:2imwvubk6mcj7cjcu72balyx	3.33989272165578	1.87257966406513	0.633264367505943	5780.02631789476
did:plc:2iojdz7jdfhsdlgj3axpaoy5	3.49279121980444	1.3074709294902	0.704150789699553	6323.52562075914
did:plc:2ipe7b7r3u72hahng53pptv4	5.21638655735117	1.06437525724112	0.679268430017466	10638.9159592071
did:plc:2iranittb3yvob7324x6mzmm	4.18868504067242	1.13020462716763	0.720978121172859	4017.88289910103
did:plc:2ismarhlxvhuggdgtbxblmul	4.84615226125723	1.36121440683776	0.585181687068063	4923.36566529582
did:plc:2itiqy5d4uvze7q5ahteohkt	3.29527067102647	1.424696519008	0.664825892942928	4758.57232445922
did:plc:2iuydcaqsvzp7hwcsdujz7pc	3.64696157503908	1.19954572329372	0.708916230612702	4322.85833417021
did:plc:2ivsdlbxp6gfr2wbdzaarrao	4.34431389454251	1.09856040547575	0.735141198587711	5859.70298624685
did:plc:2ivusuiuubvthuzqm4sndtrf	3.18541225777985	1.65077879936936	0.714009289565923	5622.14556110436
did:plc:2ixpit6gd6wnswx7latlkz6j	3.27485818454685	1.90985464094033	0.731273499079754	7039.80629509569
did:plc:2j36baw2rm35goecpp7sfhhp	3.01572281194784	1.25324179270164	0.907092893914046	14700.7268309586
did:plc:2j47pgfekenavcdomqbilrho	3.10303786611243	1.6680135080448	0.634642054224011	9057.42109430881
did:plc:2j5ytnzim22acvg26dl33o76	6.04140014407634	0.985711100343707	0.633071293282663	8673.11280913494
did:plc:2jcopga6df2sru53zyec3byk	3.63812604937746	1.58769055878007	0.708404825457736	10536.3068097633
did:plc:2jdzqauysk22z5tiiyh7n3tw	5.54086387585612	1.04967006281348	0.646900233212596	12618.9780912669
did:plc:2jekkqfyme5iszwblwcdaeov	3.9432113070739	1.32194328029093	0.706439757391039	10598.3054897294
did:plc:2jf6d65mdpcxkblvzwwfney2	5.079534791453	1.21794860358482	0.66537128877698	7906.30486933877
did:plc:2jhp3uw5zzi574mcpjexvi5y	3.36675116566343	1.66699210137527	0.667192748534547	4443.35789317733
did:plc:2jqejgoqqc45jqpzeispvyx6	3.57290751058585	1.23154852920709	0.810072097948838	5945.85160615349
did:plc:2jsqo4z77oycgvupfzjdsorh	3.45954561331626	1.44403591205686	0.884633454527557	10636.202696805
did:plc:2jswiwcs3u25m6deyi5e7phh	4.7540496499817	1.25161284849136	0.760589889749839	6945.8683441972
did:plc:2jtpcwykawm3knxjzphk5cvc	4.39245436531501	1.5534787655931	0.61237614142843	10597.7528638567
did:plc:2jtqgypin7psugge7533uhky	3.36559502797822	1.55831615540287	0.796718119800357	9805.53326290057
