did	duration_xi	duration_sigma	duration_mu	gap_xi	gap_sigma	gap_mu
did:plc:2ekiv4sqjaot2vro36dhn3ph	3.143899170020121	3.143899170020121	1.0	0.823402193620479	1456.0358179271054	0.0
did:plc:2elroanlxzho25opahkotfu6	0.214077923337067	208.161913288995	0.0	0.5974000367717374	827.5034604671505	0.0
did:plc:2etomlnno6hzfu6yvsvnh3z2	-0.498600654360006	231.84509703064	0.0	0.6501681908094774	1840.0311182413514	0.0
did:plc:2f6nxkqm36hpu3mqfjpehr23	-0.42091191109555	504.138885973765	0.0	0.489805029982668	3547.19841927204	0.0
did:plc:2fenehxdht55kdzzea3bf4xh	-0.116088224136199	628.296263314626	0.0	2.148538430902135	236.2844346406485	0.0
did:plc:2fer5u7ijtwqhvlsrh7zw2le	-0.104512643150024	915.888264094537	0.0	4.202363588746458	50.42836306495749	12.0
did:plc:2fkhmmsslcybiqa52qznstao	-0.628793394026754	1067.42007515655	0.0	-0.29018877613651	16804.7379972774	0.0
did:plc:2fnbcpu4k7k7bexkvs3vqryk	-0.0972679211413855	602.907414038055	0.0	1.0110145676466877	1008.8970255320661	0.0
did:plc:2fwcfwi67jnxmod6olsgnb4x	1.9282345218283272	1.9282345218283272	1.0	0.8202315328851778	2788.2794927345526	0.0
did:plc:2g3dh4lm2zoup5g6qqax3ti5	0.147963298358969	264.036514517081	0.0	1.0058678540741945	709.6403305042635	0.0
