did	duration_rate	gap_shape	gap_scale
did:plc:265p7np6zehha2gzwsxa3lwi	0.00227843664200196	0.520724402644755	9853.82565656984
did:plc:267wuw3fruxt3irat66gwcqi	0.00306251125936269	0.583789064323477	7905.20450993785
did:plc:26acpxu4ulrh67kiffzb6rxl	0.00632022472085817	0.660291915032871	11883.7928245319
did:plc:26d6ehzckz2iwl6spzrcdbha	0.00226905790468025	0.540014458869762	6490.1292616903
did:plc:26fy5rc7cjw7qjd72omeczgc	0.00681395829059574	0.652947583319841	4359.65477554237
did:plc:26g4ty6g5os6rtkk3qs4mjgg	0.00366584420199292	0.798940553904702	6418.85342529989
did:plc:26g7bivdwi3kgs6ab3al5g6d	0.00457711442879898	0.724332692323253	4093.76839846868
did:plc:26idbu25dqrgpj7um6elfk6i	0.00598028123692502	0.563753909458491	3072.56261145801
did:plc:26iie2thzeh7cljoyihnujev	0.00771476230672444	0.7470196326243	9191.15002248596
did:plc:26inndanndxn3usscp2o7c22	0.0048291233291769	0.533455665047034	4224.25556143207
did:plc:26istsbcrgunzz5shyrzhhme	0.00368640943728118	0.519554207061904	6339.93063392621
did:plc:26jdp4avwlvdsnrfwu7sczek	0.00257394445703319	0.494576040515033	3706.75125848079
did:plc:26jl7qbgzzk63eegzijrqp7w	0.00247749607734894	0.775597347719931	8211.01511822512
did:plc:26jwvvalzguh2xwal636gzyo	0.0022469505671577	0.612876567857651	7230.2238779855
did:plc:26l5foyejtomzvnlsmvmzrvu	0.00520368718723309	0.701555556383764	6282.40821008338
did:plc:26lb3lnnks2ua2xswp3uympt	0.00588964662163799	0.690163902110161	10557.431390239
did:plc:26lzi46rplfbninrykyxtzwv	0.00599563953694538	0.54315434436661	8615.05536074941
did:plc:26nwjeqiqlqghqj5ocpjzaxq	0.00621528696296992	0.661314456835341	5637.71664292088
did:plc:26pn5zdktacsab2btfbsesay	0.00250815149235995	0.500569841623167	10505.4375960642
did:plc:26raoz67aecbi3f73bqb52gp	0.00200195312510306	0.747249636421118	13487.6995025609
did:plc:26ug6ezjw6fmsdss2aahfpif	0.00409752100005864	0.668526711400894	9650.65455391225
did:plc:26wns3ozvavf7wk2mwwvdz2y	0.00434741959633041	0.647314064602639	3939.03579076023
did:plc:26xepz5rezlzjpg2lfrp6wfn	0.00464636035123757	0.499429329181542	4394.84393123823
did:plc:26y67nmo73lvuklgomnef7xn	0.00513716223224287	0.662393109101951	7477.05303721251
did:plc:26ypzvcklxb4w5qnyrr7h5cu	0.00660474716356033	0.639048161007626	9701.82782110284
did:plc:26zk6zbnmrgogsrxhmfmip6g	0.00305468633599766	0.564646735409048	7374.78519918863
did:plc:26zq5xksy7l2w64juiaigsow	0.0103563813684024	0.675514435359265	8472.27855347992
did:plc:272fetgnopscxfhpxzrqwbft	0.00621118012607583	0.631355003144608	7091.59586340438
did:plc:272ztc7gepzvdrgryrry6q6f	0.005494505495043	0.604571007855217	9618.23944395141
did:plc:273jcoshbblu4qihmewk5pbg	0.00587301587521096	0.549727792275953	7450.50449892833
did:plc:275kz544rexfgaj377oo3jh3	0.00564373897756777	0.639498410725697	8699.45800258093
did:plc:275xqpljwuj6lcqtbpmu2tsl	0.00303216025302932	0.562983620466526	2718.64956267977
did:plc:27bfkfzbdwkywpdi5aw2xmg3	0.0184049080193372	0.682817834498751	9992.64163028288
did:plc:27dcrdrxjzr3txwv5ohg77dw	0.00654327911765534	0.51799651128616	5597.04235205256
did:plc:27eelluttr4wulpfvj4ajwl3	0.00473253979720459	0.616006509637899	5590.0533965387
did:plc:27fycdlhp4vjw5rkmoeudv3m	0.0113408939368097	0.843567851067811	7106.9426073551
did:plc:27idu3646jm43umvqoq5yejf	0.00717535876817772	0.724101759638057	5638.36296938822
did:plc:27ihlsr2q7p34oxgi5qsh5xl	0.00228444618504134	0.448410149372768	8696.891415247
did:plc:27iukc64mmk2f6wcndkylt4e	0.0020754716982045	0.597374956602449	9860.5712739468
did:plc:27jdaspuyqlc3hrbrryfli6l	0.00250097260050527	0.82129130444751	13584.5007559252
did:plc:27jgcfwjung35tncou3ifymw	0.00778291965129356	0.657447637158366	8565.71830898598
did:plc:27k36zncswvmslsekwoqyfsw	0.00430416068889226	0.633865182386969	8500.20576441179
did:plc:27kjgrw3nfxkqx527k76cqo6	0.0104223807008698	0.776436085752806	5888.27073994
did:plc:27klx4dshrznyuwzzogwsb66	0.00398068942158721	0.665448247300688	7288.13365977456
did:plc:27knugai7thb5o3see44j4wf	0.00319106501852166	0.766045817399689	5635.04093236734
did:plc:27kuozrpjgds3q5bw7uxwhzl	0.00500515236344041	1.33409965095004	17709.8774251843
did:plc:27lbtj2jghkevymjboyugjze	0.00495168117636281	0.684601806023952	4535.45923064323
did:plc:27oocyy2hfxw35wh45n3q65r	0.00215465645201516	0.464117651292515	8807.6147281718
