did	duration_shape	duration_rate	gap_meanlog	gap_sdlog
did:plc:2ibh4l545ae53v44b23fftrc	0.660111768467857	0.00309729285956476	7.75226413527565	1.95380186144815
did:plc:2ibtdn2gvft4ggnd5ntpkez4	0.780165894320639	0.00350917638573733	6.95298509881196	2.15607613658378
did:plc:2idhcxci6jw3sf2welurfu4x	0.670792961540196	0.00656864506701621	8.19388597007603	1.61793303043962
did:plc:2ifgtj6g677gxyd35ezsw5sr	0.626650831262529	0.00306025658327043	6.61572530014586	1.85542485257282
did:plc:2iihnhsglalgsbonamcnun7h	0.613307783879814	0.00358373678846315	7.50851602288032	1.9359087485924
did:plc:2indq44vjvnaf2cpn6cqnwxz	0.781039057218987	0.00694581030430508	7.52488627995232	1.54946645163745
did:plc:2ipcupxhbebhb5tclq5n5xds	0.482637559029969	0.00602357792737969	7.76253077715929	1.71293703108993
did:plc:2irexyxxy5dudqfc5fa7uz46	0.506227364650507	0.00201666528625106	7.43039719579031	2.02974551367794
did:plc:2it7djl75wgzrv4ujtstobjj	0.670244309458388	0.00502805331465415	7.35185418882192	1.77505110024481
did:plc:2itakkymb365rvxysfdgq5vd	0.761546975351114	0.00313364655528078	6.96857424097211	1.89222126616102
did:plc:2ivi7uc4hfnwdpcdnu7ivvv6	0.672098516572998	0.00541445133935779	6.91565651481601	1.65688936826
did:plc:2iznfh74qdg2ycez2iserhht	0.652708699069602	0.00240805256977236	6.36667599677604	1.81721215047058
did:plc:2j2ecobfi3o77k2lwvgr7huj	0.748400999522661	0.00477116802617966	7.38686292861945	1.9932490853509
did:plc:2j2exctrcz7r3vc2f3wcbrh2	0.595381993792672	0.0038856827487246	7.43957334043112	2.08842813429146
did:plc:2j2uk7vwos2hj254oyz6np2h	0.747456648254751	0.00453032950841812	7.34233888953418	1.7455082776895
did:plc:2j4mjrkvyr35w2mjmrivzzrr	0.686473177969506	0.00552864970805756	7.41864274553696	1.58479023715023
did:plc:2j7xu6hnwlbqy4e6lf63dyvc	0.504956221835634	0.00453523531601242	7.77524712198926	1.67273996220006
did:plc:2j7xzzvzjmwmsds4qvaxnrcr	0.468367071924084	0.0035932021087142	6.93159281386466	1.72991479597378
did:plc:2jas2nlgpaygmujrjamoftj7	0.74874015310731	0.00374908649893312	7.49132615249567	2.00149396553983
