did	duration_xi	duration_sigma	duration_mu	gap_shape	gap_scale
did:plc:2bjba6bsmgh24z3nu6l6nqpm	0.27885231543625993	70.39301639431734	0.0	0.8094064466546	9023.56829137741
did:plc:2bkavuzhkssrn5lzs2kqvmpw	-0.457912036158414	289.546599440313	0.0	0.630593187689956	4046.33058467319
did:plc:2bmka7e24dfnr7alw5agr7s7	0.387248542806566	173.306446234149	0.0	0.596071658996956	4297.3937366732
did:plc:2bp72fxkqdtdjunptwhhrbqh	-0.435693873959568	277.011906532586	0.0	0.786428782603838	15237.9920675944
did:plc:2br4yeww4gmbbxdbtyyqlmom	0.163331005251059	429.587031077183	0.0	0.571056632817592	5427.27773441216
did:plc:2brkkordpfqtux2c5yklbczh	-0.353105203310107	472.142402332211	0.0	0.667839740139333	11270.9733158936
did:plc:2bwvcoajob7qcvo3gou5r6xy	-0.250404601051394	737.270924570668	0.0	0.680390421553323	12803.4485708233
did:plc:2by4zrofrv4qr4elhvc3swnz	-0.199552821714057	638.23422800289	0.0	0.558516391193519	3097.62292613607
did:plc:2bybi4n4wxtahiiovpfjiwrl	-0.809770670596323	429.680308939915	0.0	0.578953603374686	8326.96173910299
did:plc:2byzrpskkki6j3io7kuq6l4i	-0.235719272539745	279.02633738358	0.0	0.568275719130523	4579.41271025115
did:plc:2bzb24izhasrmdn7oaqjzmuh	0.326421701510133	143.31423376513	0.0	0.69135999423299	4089.96101231945
did:plc:2c23eyjoxg6xb3qqdxrhzq6g	0.20866511389046455	462.07744400275914	0.0	0.644171442544319	2195.50629207036
did:plc:2c2nbrkad2kywfgrvr75zlgg	1.964531215132891	1.964531215132891	1.0	1.2232169099359	18950.649547159
did:plc:2c3d3gy3ql2vdczvbmvz4qsf	-0.356000692617417	750.131760562344	0.0	0.505134140980555	7752.42119749973
did:plc:2c3ywukztozaf76mdfgveuqg	1.8140425957000241	1.8140425957000241	1.0	0.847160878768664	16095.2471764069
did:plc:2c5j2aqhtie4kccl6knf7svg	-0.191816535824903	709.018612019498	0.0	0.630028473198289	5641.91835970178
did:plc:2c5wdg4wzylc6lx5pauxq7zx	0.455777808986129	123.557201763228	0.0	0.691158612209354	5173.36308282756
did:plc:2caktjm2tkszqsdardsp4hxf	-0.378297331962327	332.899261681304	0.0	0.749744003015493	11740.4222917105
did:plc:2cbhj7j7x5qu6vwmqmjwxy4b	-0.405619939147242	356.601546841482	0.0	0.660660251300957	8480.82020838642
did:plc:2cdmraugsdw72mhd6btlercg	-0.374354679855127	315.841335264221	0.0	0.774130490619735	13158.3321161482
did:plc:2cfs3vkxyk7wm2y2654w52al	1.362356696448912	1.362356696448912	1.0	0.894448780027902	13091.3347848582
did:plc:2cie4hkghksc5vlfhgkv42j7	-0.419137044239579	350.078260249304	0.0	0.726502418669799	10224.8579153431
did:plc:2cjc3kxes5sybky2y5xevgp2	0.364435734401004	131.574341041408	0.0	0.698576263418886	10189.3500824123
did:plc:2ckmsqgjz4zt3whhbqkqmu2j	-0.26947085941352	651.022284404941	0.0	0.574141555147937	6722.47854173621
did:plc:2cktqinjszqfhgauv7dtjxiu	0.210777192864886	576.256628222149	0.0	0.574012733377626	3630.18198245646
did:plc:2cl3lpsstdp3hcyvpixjvct5	2.181438235572144	8.725752942288576	4.0	0.761813876283018	8876.86397890597
