did	rate
did:plc:2bjyrlikkgsgtvy5546d4i6p	0.00350162866492331
did:plc:2bkf7uuckq6kvwmypmpsfyqt	0.00514253773060204
did:plc:2bkg32jfu3ejz42zm2yn3thr	0.00546294999310562
did:plc:2bkv5zcm5kie43ejqwtjfxi4	0.00600356969049668
did:plc:2bnehlnqnfaprsirkxetcygw	0.00570741964793347
did:plc:2bnr3wkdll3dp5bqhpt7y7ja	0.00471017975669922
did:plc:2bo3aklt7qa3ep74lw74jtwu	0.00607003891249178
did:plc:2boy7ydwqaypqaacqipwbcgg	0.00369337453869117
did:plc:2bpsgphxadwnbrialcrk6n6m	0.00571357595568416
did:plc:2bq3yhybwyxfssjxafvf4ekq	0.00231154045202186
did:plc:2bqffdzs5rhmgunngxkplz7m	0.00407465825580942
did:plc:2bs7jt6a3xwp4xeoboymfvo2	0.00363593713385511
did:plc:2bsb346d46cvoxr67sl37j64	0.00365306335493142
did:plc:2bsjzd7dwttgv2aipcx4ybfi	0.00700014583766112
did:plc:2bss3ebosj42zo3gmid4kzmq	0.00415482178127562
did:plc:2btoe4pl5uwlkzkc6dc76t5k	0.00659630607014518
did:plc:2btsbfnoktbphqj3rcnyng3z	0.00947934352267244
did:plc:2buswios7x4pxn2fajhumfzl	0.00772264213426887
did:plc:2bv46d4zukszeooxyzqufm2t	0.00348167120261291
did:plc:2bvjodjl24xuztdchcow73cb	0.0041932907348341
did:plc:2bvlwb3fmelbaqegj4nestay	0.00721587492488169
did:plc:2bw2ep3h67iq2wo6pjzavohw	0.00321843853822825
did:plc:2bwgjypzixvxrn23mq5r6jeu	0.0032328186840116
did:plc:2bwrgjdomw6iasgyweuvuigx	0.00462500000090888
did:plc:2bxojfg5vimcxtslb5pb2bc4	0.00338760791217825
did:plc:2by2673czqpvn37nkmkedatc	0.00889929742701078
did:plc:2byy4qjpdsgc2ttjy2h6eixl	0.0103058510738653
did:plc:2bza3ffwkfty677z2reepna6	0.00539626288716577
did:plc:2c22veggo3h4g5qmupebu7ka	0.00446609825517312
did:plc:2c2dyd2dhcoafxrp26onvbgr	0.0114180478836106
did:plc:2c2j7lx6ws2fh6kzl5fe3ci5	0.00402388369705953
did:plc:2c2yrgaxoyqchqqcfwgkrmzb	0.00324483129080598
did:plc:2c3d63dun6kolnuiwuyjk5yl	0.0090803259633583
did:plc:2c3m67dewhdg6azzkaktjzbk	0.00470108213675254
did:plc:2c5m7qn25her65oanxnq4vqp	0.00365637464951024
did:plc:2c5uwmlbdhdgg26u6jrdotjh	0.00808838037198711
did:plc:2cadasncmod4jgi3lfiw3aim	0.00512032770163909
