"run_label","records","n.max","n.start","events","rmean","se(rmean)","median","0.95LCL","0.95UCL","run_id"
"run_id=90",31538,31538,31538,0,9732.24088370986,0,NA,NA,NA,90
"run_id=91",30567,30567,30567,0,9732.24088370986,0,NA,NA,NA,91
"run_id=92",32069,32069,32069,0,9732.24088370986,0,NA,NA,NA,92
"run_id=93",30149,30149,30149,0,9732.24088370986,0,NA,NA,NA,93
"run_id=94",30386,30386,30386,0,9732.24088370986,0,NA,NA,NA,94
"run_id=95",31763,31763,31763,0,9732.24088370986,0,NA,NA,NA,95
"run_id=96",30341,30341,30341,0,9732.24088370986,0,NA,NA,NA,96
"run_id=97",30808,30808,30808,0,9732.24088370986,0,NA,NA,NA,97
"run_id=98",30802,30802,30802,0,9732.24088370986,0,NA,NA,NA,98
"run_id=99",31300,31300,31300,0,9732.24088370986,0,NA,NA,NA,99
